square, 71, 68.198, 0.20156
square, 76, 26.7, 0.15
noise, 20, 18.3, 0.024609
tri, 48, 12, 0.15
noise, 20, 0.3, 0.0375
square, 74, 68.198, 0.20156
tri, 55, 45.15, 0.15
noise, 20, 18, 0.0375
noise, 20, 2.8992, 0.024609
tri, 53, 51.6, 0.15
tri, 60, 28.05, 0.15
square, 74, 17.4, 0.15
noise, 20, 27, 0.075
noise, 20, 4.6992, 0.024609
tri, 77, 25.35, 0.13125
tri, 60, 12.9, 0.15
square, 72, 6.45, 0.15
square, 77, 24.6, 0.15
square, 67, 9.6, 0.098437
square, 60, 47.7, 0.15
noise, 20, 46.699, 0.024609
tri, 52, 43.2, 0.098437
square, 72, 77.55, 0.15
noise, 20, 74.1, 0.075
square, 55, 8.1, 0.15
noise, 20, 11.299, 0.024609
noise, 20, 20.299, 0.024609
square, 71, 67.2, 0.15
noise, 20, 6.3, 0.024609
noise, 20, 16.8, 0.0375
square, 71, 5.85, 0.15
square, 67, 2.85, 0.15
square, 67, 68.4, 0.15
square, 72, 23.25, 0.15
noise, 20, 15.499, 0.024609
square, 77, 62.599, 0.098437
tri, 60, 68.4, 0.15
noise, 20, 30.499, 0.024609
square, 69, 10.95, 0.15
tri, 60, 28.2, 0.15
tri, 60, 61.95, 0.15
tri, 55, 63, 0.15
square, 69, 55.35, 0.15
tri, 60, 23.55, 0.15
square, 79, 39.6, 0.15
tri, 52, 7.65, 0.15
